SITE,ZONE_CODE,MEAN_NDVI,MEAN_NDBI,Buffer_Meter
Leadmine Mountain,1,0.903819317,-0.404351877,500
Braod Meadow Brook,2,0.883410091,-0.334639238,500
Burncoat Pond,3,0.843594009,-0.392593469,500
Pierpoint Meadow,4,0.736195326,-0.34329482,500
Rutland Brook,5,0.83651489,-0.359617194,500
Cooks Canyon,6,0.798105739,-0.329393179,500
Eagle Lake,7,0.821359912,-0.363467622,500
Wachusett Meadow,8,0.814877723,-0.316298472,500
Lake Wampanoag,9,0.784617398,-0.271790263,500
Flat Rocks,10,0.811210031,-0.326043784,500
Lincoln Woods,11,0.718123926,-0.261289574,500
Leadmine Mountain,1,0.888216939,-0.384706973,1000
Braod Meadow Brook,2,0.758528132,-0.264302042,1000
Burncoat Pond,3,0.793918692,-0.388825127,1000
Pierpoint Meadow,4,0.737843018,-0.342168826,1000
Rutland Brook,5,0.831313908,-0.350672088,1000
Cooks Canyon,6,0.742869246,-0.270531891,1000
Eagle Lake,7,0.792563057,-0.345225874,1000
Wachusett Meadow,8,0.810233669,-0.303289312,1000
Lake Wampanoag,9,0.715169438,-0.262517211,1000
Flat Rocks,10,0.811103159,-0.327100034,1000
Lincoln Woods,11,0.652352697,-0.222156273,1000
Leadmine Mountain,1,0.857703305,-0.370981445,1500
Braod Meadow Brook,2,0.677024455,-0.217818331,1500
Burncoat Pond,3,0.812428994,-0.370245659,1500
Pierpoint Meadow,4,0.778636218,-0.343831692,1500
Rutland Brook,5,0.834877875,-0.346249235,1500
Cooks Canyon,6,0.737700756,-0.265620977,1500
Eagle Lake,7,0.7631677,-0.330771664,1500
Wachusett Meadow,8,0.805231385,-0.305229647,1500
Lake Wampanoag,9,0.693723898,-0.255290597,1500
Flat Rocks,10,0.781576792,-0.305391384,1500
Lincoln Woods,11,0.628669493,-0.206875301,1500
Leadmine Mountain,1,0.849801832,-0.367921693,2000
Braod Meadow Brook,2,0.654822337,-0.207788542,2000
Burncoat Pond,3,0.807650626,-0.359527144,2000
Pierpoint Meadow,4,0.793052427,-0.339604771,2000
Rutland Brook,5,0.829420568,-0.347383267,2000
Cooks Canyon,6,0.75482467,-0.27873777,2000
Eagle Lake,7,0.750851861,-0.325512178,2000
Wachusett Meadow,8,0.799676488,-0.306569292,2000
Lake Wampanoag,9,0.694848649,-0.242962297,2000
Flat Rocks,10,0.755502108,-0.289553286,2000
Lincoln Woods,11,0.62117383,-0.205760936,2000
Leadmine Mountain,1,0.847210627,-0.361995507,2500
Braod Meadow Brook,2,0.629502452,-0.201313124,2500
Burncoat Pond,3,0.791293464,-0.356673602,2500
Pierpoint Meadow,4,0.776263651,-0.327510448,2500
Rutland Brook,5,0.82590544,-0.34420062,2500
Cooks Canyon,6,0.772027706,-0.292890663,2500
Eagle Lake,7,0.742196082,-0.32464977,2500
Wachusett Meadow,8,0.801112907,-0.306465763,2500
Lake Wampanoag,9,0.699386738,-0.239275842,2500
Flat Rocks,10,0.748757497,-0.283112024,2500
Lincoln Woods,11,0.646030689,-0.222790285,2500
Leadmine Mountain,1,0.845333632,-0.358024318,3000
Braod Meadow Brook,2,0.634282308,-0.202996653,3000
Burncoat Pond,3,0.789732481,-0.354891722,3000
Pierpoint Meadow,4,0.768083092,-0.323055009,3000
Rutland Brook,5,0.82208021,-0.339362429,3000
Cooks Canyon,6,0.778221701,-0.297420368,3000
Eagle Lake,7,0.744939394,-0.328264443,3000
Wachusett Meadow,8,0.795660938,-0.305589365,3000
Lake Wampanoag,9,0.709613361,-0.241461586,3000
Flat Rocks,10,0.738834921,-0.274748518,3000
Lincoln Woods,11,0.656013042,-0.232344869,3000
